ID,Data_base_Source,Continent,Country,Y,X,Eco_Name,BIOME_NAME,Biome,NNH_NAME,Coastal,Operating,Count,Combined,Mammals,Reptiles,Birds,Amphibians
66,Wikipedia,Europe,Russia,62.92556,40.57778,Scandinavian and Russian taiga,Boreal Forests/Taiga,BFT,Nature Could Recover,Inner,Operating,1,2,0,0,3,0
70,Wikipedia,Europe,Sweden,67.89342,21.10429,Scandinavian and Russian taiga,Boreal Forests/Taiga,BFT,Nature Could Recover,Inner,Operating,1,1,0,0,2,0
96,Wikipedia,North America,United States,57.43533,-152.33931,Alaska Peninsula montane taiga,Boreal Forests/Taiga,BFT,Half Protected,Coastal,Operating,1,3,2,2,3,0
145,Gunters_Space_Page,North America,Canada,54.763278,-110.592778,Mid-Canada Boreal Plains forests,Boreal Forests/Taiga,BFT,Nature Could Reach Half Protected,Inner,Operating,1,2,1,0,2,0
164,Gunters_Space_Page,Europe,Iceland,66.252118,-15.274985,Iceland boreal birch forests and alpine tundra,Boreal Forests/Taiga,BFT,Nature Could Reach Half Protected,Coastal,Operating,1,1,0,0,2,0
10,Wikipedia,Asia,China,40.96056,100.29833,Alashan Plateau semi-desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,1,1,0,2,0
20,Wikipedia,Asia,Iran,35.234631,53.920941,Central Persian desert basins,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,3,3,1,3,1
30,Wikipedia,Asia,Kazakhstan,45.95515,63.35028,Central Asian northern desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,2,0,3,0
31,Wikipedia,Asia,Kazakhstan,46.38,72.87,Central Asian northern desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,3,2,0,4,0
37,Wikipedia,Asia,Pakistan,25.19242,66.74881,Aravalli west thorn scrub forests,Deserts & Xeric Shrublands,DXS,Nature Imperiled,Coastal,Operating,1,4,1,5,6,0
88,Wikipedia,North America,United States,32.5646,-106.35908,Chihuahuan desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,1,1,2,1
98,Wikipedia,North America,United States,35.0591,-118.1488,Mojave desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,0,2,4,2
99,Wikipedia,North America,United States,32.88943,-106.99945,Chihuahuan desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,1,1,2,1
100,Wikipedia,North America,United States,31.2524,-104.4532,Chihuahuan desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,1,1,2,0
120,Wikipedia,Oceania,Australia,-30.95875,136.50366,Tirari-Sturt stony desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,1,1,0,5,0
143,Gunters_Space_Page,North America,Barbados,13.077222,-59.475639,Caribbean shrublands,Deserts & Xeric Shrublands,DXS,Nature Could Recover,Coastal,Operating,1,5,1,5,2,4
179,Gunters_Space_Page,Asia,Mongolia,44.88996486,110.1401932,Eastern Gobi desert steppe,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,2,0,2,0
199,Gunters_Space_Page,North America,USA,32.40910495,-105.9939059,Chihuahuan desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,1,1,2,1
200,Gunters_Space_Page,North America,USA,63.93403441,-145.7368068,Chihuahuan desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,1,1,0,2,0
209,Gunters_Space_Page,North America,USA,36.67418065,-115.9683005,Mojave desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,0,1,2,2
221,Gunters_Space_Page,Europe,USSR / Russia,45.9640297,63.30565149,Central Asian northern desert,Deserts & Xeric Shrublands,DXS,Nature Could Reach Half Protected,Inner,Operating,1,2,2,0,3,0
17,Wikipedia,Asia,India,13.7374,80.2351,Godavari-Krishna mangroves,Mangroves,M,Nature Imperiled,Coastal,Operating,1,4,4,5,5,0
18,Wikipedia,Asia,India,20.75524885,87.08839529,Godavari-Krishna mangroves,Mangroves,M,Nature Imperiled,Coastal,Operating,1,5,4,5,5,0
93,Wikipedia,North America,United States,28.6082,-80.604,Bahamian-Antillean mangroves,Mangroves,M,Nature Could Reach Half Protected,Coastal,Operating,1,3,1,5,2,1
115,Wikipedia,South America,Brazil,-2.316,-44.3676,Amazon-Orinoco-Southern Caribbean mangroves,Mangroves,M,Half Protected,Coastal,Operating,1,4,4,5,4,0
116,Wikipedia,South America,French Guiana,5.23739,-52.7695,Amazon-Orinoco-Southern Caribbean mangroves,Mangroves,M,Half Protected,Coastal,Operating,1,2,3,5,1,1
8,Wikipedia,Africa,South Africa,-34.60265,20.30248,Fynbos shrubland,"Mediterranean Forests, Woodlands & Scrub",MFWS,Nature Could Recover,Coastal,Operating,1,4,3,5,5,1
22,Wikipedia,Asia,Israel,31.88484,34.6802,Eastern Mediterranean conifer-broadleaf forests,"Mediterranean Forests, Woodlands & Scrub",MFWS,Nature Imperiled,Coastal,Operating,1,3,2,5,2,0
56,Wikipedia,Europe,Italy,39.52731,9.63303,Tyrrhenian-Adriatic sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",MFWS,Nature Could Recover,Coastal,Operating,1,3,2,4,3,0
67,Wikipedia,Europe,Spain,37.10272941,-6.736304766,Southwest Iberian Mediterranean sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",MFWS,Nature Could Recover,Coastal,Operating,1,4,3,5,3,2
